age,workclass,education,education_years,marital_status,occupation,relationship,race,sex,hours_per_week,native_region,income
26.0,Private,Some-College,17,Married,Transport-Production,Other-relative,White,Female,40.0,United-States,<=50K
49.0,Private,No-HS,1,Married,Transport-Production,Spouse,White,Male,50.0,Latin-America,<=50K
45.0,Government,Graduate,22,Married,Professional,Ref-person,White,Female,55.0,United-States,>50K
43.0,Government,Some-College,19,Married,Healthcare-Service,Spouse,White,Male,72.0,United-States,>50K
43.0,Private,Some-College,19,Married,Sales-Office,Ref-person,Black,Male,40.0,United-States,<=50K
62.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,50.0,Latin-America,>50K
62.0,Private,Graduate,22,Married,Management,Ref-person,White,Male,40.0,United-States,>50K
52.0,Private,HS-grad,16,Divorced,Sales-Office,Not-in-family,White,Female,42.0,United-States,<=50K
26.0,Private,HS-grad,16,Married,Healthcare-Service,Ref-person,Black,Female,40.0,United-States,<=50K
32.0,Government,Graduate,23,Never-married,Professional,Ref-person,Asian,Female,40.0,Asia,<=50K
42.0,Private,Bachelors,21,Married,Sales-Office,Spouse,White,Male,45.0,United-States,>50K
28.0,Private,Bachelors,21,Never-married,Professional,Ref-person,White,Male,40.0,United-States,<=50K
55.0,Private,HS-grad,16,Married,Transport-Production,Spouse,Other,Male,40.0,United-States,>50K
32.0,Private,Bachelors,21,Married,Management,Ref-person,White,Female,40.0,United-States,<=50K
69.0,Private,Bachelors,21,Married,Management,Ref-person,White,Male,30.0,United-States,<=50K
65.0,Government,HS-grad,16,Married,Management,Spouse,White,Female,40.0,United-States,>50K
17.0,Private,No-HS,13,Never-married,Sales-Office,Own-child,White,Female,12.0,United-States,<=50K
39.0,Self-Employed,Some-College,19,Married,Management,Spouse,Other,Male,60.0,United-States,>50K
53.0,Self-Employed,Graduate,22,Married,Craft-Labor,Ref-person,White,Female,10.0,United-States,<=50K
36.0,Private,Bachelors,21,Married,Craft-Labor,Spouse,White,Male,40.0,United-States,<=50K
17.0,Other,No-HS,14,Never-married,Sales-Office,Own-child,White,Female,5.0,United-States,<=50K
55.0,Government,Bachelors,21,Never-married,Healthcare-Service,Ref-person,White,Female,40.0,United-States,<=50K
60.0,Private,HS-grad,16,Married,Transport-Production,Ref-person,White,Male,70.0,United-States,>50K
49.0,Government,Graduate,22,Married,Professional,Spouse,White,Male,60.0,United-States,>50K
56.0,Private,Graduate,22,Separated,Healthcare-Service,Ref-person,Asian,Female,40.0,Asia,>50K
52.0,Private,HS-grad,16,Never-married,Transport-Production,Ref-person,Other,Female,36.0,Latin-America,<=50K
21.0,Government,Bachelors,21,Never-married,Transport-Production,Not-in-family,White,Female,40.0,United-States,<=50K
47.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,40.0,United-States,>50K
23.0,Private,Bachelors,21,Married,Management,Ref-person,Other,Female,40.0,United-States,<=50K
50.0,Private,Graduate,23,Married,Healthcare-Service,Spouse,White,Male,50.0,United-States,>50K
69.0,Private,HS-grad,16,Divorced,Management,Ref-person,White,Female,40.0,United-States,<=50K
55.0,Government,Bachelors,21,Married,Management,Spouse,Other,Female,40.0,United-States,<=50K
22.0,Other,Assoc-degree,20,Never-married,Sales-Office,Own-child,White,Male,30.0,Latin-America,<=50K
47.0,Self-Employed,No-HS,9,Married,Sales-Office,Ref-person,White,Female,36.0,Latin-America,<=50K
44.0,Private,Some-College,19,Married,Sales-Office,Spouse,White,Female,50.0,Latin-America,>50K
35.0,Private,Bachelors,21,Divorced,Professional,Own-child,White,Female,40.0,United-States,>50K
68.0,Private,Graduate,22,Married,Professional,Spouse,White,Male,50.0,United-States,>50K
32.0,Private,Bachelors,21,Never-married,Professional,Not-in-family,White,Male,40.0,United-States,>50K
28.0,Private,Bachelors,21,Never-married,Sales-Office,Not-in-family,White,Female,35.0,United-States,<=50K
78.0,Self-Employed,Some-College,18,Married,Management,Ref-person,White,Male,60.0,United-States,>50K
61.0,Private,No-HS,11,Married,Sales-Office,Spouse,White,Male,40.0,United-States,<=50K
49.0,Government,Some-College,18,Married,Transport-Production,Ref-person,White,Male,40.0,United-States,>50K
34.0,Private,No-HS,9,Married,Craft-Labor,Ref-person,Other,Female,40.0,Latin-America,<=50K
18.0,Private,No-HS,14,Never-married,Sales-Office,Own-child,White,Male,20.0,United-States,<=50K
36.0,Private,HS-grad,16,Never-married,Transport-Production,Not-in-family,White,Male,45.0,United-States,<=50K
43.0,Private,HS-grad,16,Divorced,Management,Own-child,White,Male,50.0,United-States,>50K
30.0,Private,Graduate,23,Married,Healthcare-Service,Spouse,White,Female,32.0,United-States,<=50K
64.0,Other,Some-College,19,Widowed,Transport-Production,Ref-person,White,Male,1.0,United-States,<=50K
25.0,Private,Bachelors,21,Never-married,Professional,Own-child,Black,Male,40.0,United-States,<=50K
65.0,Private,Some-College,19,Married,Management,Not-in-family,White,Female,40.0,United-States,<=50K
27.0,Private,Some-College,19,Married,Craft-Labor,Not-in-family,Asian,Female,35.0,United-States,<=50K
29.0,Government,Some-College,19,Never-married,Transport-Production,Own-child,White,Male,40.0,United-States,<=50K
18.0,Private,Some-College,18,Never-married,Sales-Office,Not-in-family,Black,Female,20.0,Asia,<=50K
51.0,Government,Some-College,19,Married,Professional,Ref-person,White,Female,40.0,Latin-America,<=50K
47.0,Private,Bachelors,21,Married,Transport-Production,Ref-person,White,Male,60.0,Latin-America,<=50K
58.0,Self-Employed,Bachelors,21,Married,Professional,Ref-person,White,Male,25.0,United-States,>50K
52.0,Self-Employed,Graduate,23,Married,Sales-Office,Ref-person,White,Male,40.0,United-States,>50K
44.0,Private,Graduate,23,Married,Professional,Spouse,Asian,Male,40.0,Asia,>50K
63.0,Private,Bachelors,21,Married,Craft-Labor,Ref-person,White,Male,40.0,United-States,<=50K
46.0,Private,No-HS,15,Married,Transport-Production,Ref-person,White,Male,40.0,United-States,<=50K
39.0,Private,Assoc-degree,20,Married,Management,Spouse,White,Female,40.0,United-States,<=50K
44.0,Private,HS-grad,16,Never-married,Sales-Office,Own-child,White,Male,40.0,United-States,<=50K
41.0,Private,HS-grad,16,Married,Sales-Office,Ref-person,White,Male,40.0,United-States,>50K
21.0,Private,HS-grad,16,Never-married,Craft-Labor,Not-in-family,White,Male,40.0,United-States,<=50K
29.0,Private,Some-College,17,Never-married,Sales-Office,Not-in-family,Black,Male,30.0,United-States,<=50K
64.0,Private,Some-College,19,Married,Transport-Production,Ref-person,White,Male,50.0,United-States,<=50K
67.0,Government,Some-College,18,Married,Craft-Labor,Spouse,White,Female,40.0,United-States,<=50K
46.0,Private,Graduate,22,Divorced,Management,Ref-person,White,Female,45.0,United-States,>50K
46.0,Private,Some-College,17,Never-married,Healthcare-Service,Ref-person,Black,Female,40.0,United-States,<=50K
56.0,Private,No-HS,9,Married,Transport-Production,Ref-person,Other,Male,40.0,Latin-America,<=50K
50.0,Private,HS-grad,16,Married,Craft-Labor,Spouse,White,Male,40.0,United-States,>50K
29.0,Private,Some-College,18,Married,Professional,Spouse,White,Male,60.0,United-States,>50K
60.0,Private,Assoc-degree,20,Never-married,Sales-Office,Not-in-family,Other,Female,30.0,United-States,<=50K
23.0,Private,HS-grad,16,Never-married,Craft-Labor,Own-child,White,Female,35.0,United-States,<=50K
37.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,46.0,Latin-America,<=50K
36.0,Private,Assoc-degree,20,Divorced,Transport-Production,Ref-person,Asian,Male,40.0,Africa-Other,>50K
38.0,Private,Bachelors,21,Never-married,Professional,Ref-person,Other,Female,40.0,Latin-America,>50K
39.0,Private,Some-College,17,Divorced,Sales-Office,Ref-person,Black,Female,40.0,United-States,<=50K
30.0,Private,Bachelors,21,Never-married,Professional,Unmarried-partner,White,Male,40.0,Asia,<=50K
30.0,Private,Bachelors,21,Married,Professional,Ref-person,Other,Female,40.0,United-States,<=50K
22.0,Private,Some-College,19,Never-married,Sales-Office,Ref-person,Other,Male,40.0,Latin-America,<=50K
27.0,Government,Bachelors,21,Never-married,Professional,Ref-person,White,Male,60.0,United-States,<=50K
28.0,Private,Bachelors,21,Married,Management,Ref-person,White,Male,48.0,United-States,>50K
22.0,Private,HS-grad,16,Never-married,Sales-Office,Not-in-family,White,Female,18.0,United-States,<=50K
31.0,Private,Some-College,19,Married,Transport-Production,Spouse,White,Male,52.0,United-States,>50K
54.0,Private,HS-grad,16,Married,Management,Ref-person,White,Male,40.0,United-States,>50K
33.0,Private,Some-College,18,Married,Craft-Labor,Spouse,White,Female,40.0,United-States,<=50K
18.0,Private,Some-College,18,Never-married,Sales-Office,Own-child,White,Female,25.0,United-States,<=50K
58.0,Private,Some-College,19,Married,Sales-Office,Spouse,White,Male,30.0,United-States,<=50K
49.0,Private,No-HS,1,Married,Sales-Office,Spouse,White,Female,40.0,Latin-America,<=50K
27.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,White,Female,40.0,United-States,>50K
37.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Female,55.0,United-States,>50K
34.0,Private,Some-College,18,Married,Craft-Labor,Ref-person,White,Female,8.0,United-States,<=50K
20.0,Private,Some-College,18,Never-married,Transport-Production,Other-relative,White,Male,25.0,United-States,<=50K
21.0,Private,Some-College,18,Never-married,Craft-Labor,Own-child,White,Male,8.0,United-States,<=50K
30.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,White,Male,45.0,United-States,>50K
27.0,Private,HS-grad,16,Separated,Sales-Office,Own-child,White,Female,10.0,United-States,<=50K
32.0,Self-Employed,HS-grad,16,Married,Sales-Office,Spouse,White,Female,30.0,United-States,<=50K
74.0,Private,Some-College,19,Married,Sales-Office,Ref-person,White,Male,26.0,United-States,<=50K
61.0,Government,HS-grad,16,Married,Healthcare-Service,Ref-person,White,Male,35.0,United-States,<=50K
18.0,Private,No-HS,14,Never-married,Transport-Production,Ref-person,White,Male,40.0,Latin-America,<=50K
37.0,Self-Employed,Bachelors,21,Married,Sales-Office,Ref-person,White,Female,40.0,United-States,>50K
23.0,Government,Bachelors,21,Never-married,Professional,Ref-person,White,Female,20.0,United-States,<=50K
35.0,Private,Assoc-degree,20,Married,Sales-Office,Ref-person,White,Male,50.0,United-States,>50K
37.0,Private,HS-grad,16,Married,Transport-Production,Spouse,Asian,Male,45.0,Asia,<=50K
43.0,Government,Graduate,22,Never-married,Professional,Ref-person,Black,Female,50.0,United-States,<=50K
40.0,Government,Graduate,24,Married,Professional,Spouse,White,Female,40.0,Europe,>50K
28.0,Government,Some-College,19,Never-married,Professional,Own-child,White,Female,40.0,United-States,<=50K
24.0,Private,HS-grad,16,Never-married,Sales-Office,Own-child,White,Male,30.0,United-States,<=50K
27.0,Private,Assoc-degree,20,Married,Management,Spouse,White,Female,55.0,United-States,>50K
44.0,Self-Employed,No-HS,14,Married,Transport-Production,Ref-person,White,Male,50.0,Latin-America,>50K
22.0,Private,HS-grad,16,Never-married,Transport-Production,Own-child,White,Female,36.0,United-States,<=50K
38.0,Private,Some-College,17,Never-married,Sales-Office,Ref-person,Black,Female,30.0,United-States,<=50K
18.0,Private,No-HS,13,Never-married,Craft-Labor,Own-child,White,Female,20.0,United-States,<=50K
34.0,Government,Bachelors,21,Married,Professional,Ref-person,White,Female,45.0,United-States,>50K
24.0,Private,Bachelors,21,Never-married,Professional,Own-child,White,Male,4.0,United-States,<=50K
42.0,Private,No-HS,10,Divorced,Transport-Production,Not-in-family,White,Female,40.0,United-States,<=50K
17.0,Private,No-HS,13,Never-married,Sales-Office,Own-child,White,Male,30.0,United-States,<=50K
53.0,Private,Bachelors,21,Married,Healthcare-Service,Spouse,White,Female,80.0,United-States,>50K
62.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,40.0,United-States,<=50K
37.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,40.0,United-States,<=50K
45.0,Private,HS-grad,16,Married,Craft-Labor,Spouse,White,Female,40.0,United-States,>50K
60.0,Self-Employed,Bachelors,21,Married,Professional,Spouse,Asian,Female,20.0,Asia,<=50K
34.0,Private,HS-grad,16,Married,Transport-Production,Spouse,Black,Male,50.0,United-States,>50K
21.0,Private,HS-grad,16,Married,Sales-Office,Spouse,Black,Male,40.0,United-States,<=50K
23.0,Private,Some-College,19,Married,Transport-Production,Other-relative,White,Male,35.0,United-States,<=50K
31.0,Private,Some-College,19,Married,Transport-Production,Other-relative,White,Male,40.0,United-States,<=50K
39.0,Private,No-HS,12,Married,Sales-Office,Spouse,White,Male,80.0,United-States,<=50K
51.0,Private,Graduate,22,Married,Professional,Ref-person,White,Female,21.0,United-States,<=50K
49.0,Private,HS-grad,16,Never-married,Transport-Production,Ref-person,White,Male,40.0,Latin-America,<=50K
51.0,Self-Employed,Graduate,22,Married,Management,Ref-person,Other,Male,40.0,United-States,>50K
26.0,Private,Some-College,19,Married,Sales-Office,Ref-person,Other,Male,40.0,Latin-America,<=50K
38.0,Government,Bachelors,21,Married,Healthcare-Service,Ref-person,White,Male,40.0,United-States,>50K
23.0,Government,Assoc-degree,20,Never-married,Craft-Labor,Not-in-family,White,Male,2.0,United-States,<=50K
50.0,Private,No-HS,9,Married,Transport-Production,Not-in-family,White,Female,40.0,Latin-America,<=50K
63.0,Private,Graduate,22,Married,Professional,Spouse,White,Female,45.0,Europe,>50K
30.0,Private,HS-grad,16,Married,Craft-Labor,Ref-person,White,Male,40.0,United-States,<=50K
53.0,Private,Some-College,19,Married,Craft-Labor,Ref-person,Black,Female,40.0,United-States,>50K
22.0,Private,Some-College,19,Married,Craft-Labor,Own-child,White,Female,30.0,United-States,<=50K
42.0,Private,Some-College,18,Never-married,Healthcare-Service,Own-child,White,Female,50.0,United-States,<=50K
24.0,Private,Some-College,19,Never-married,Healthcare-Service,Own-child,Black,Female,40.0,United-States,<=50K
25.0,Private,HS-grad,16,Never-married,Sales-Office,Ref-person,White,Female,40.0,United-States,>50K
60.0,Private,No-HS,15,Married,Transport-Production,Spouse,White,Male,45.0,Latin-America,>50K
39.0,Government,HS-grad,16,Never-married,Craft-Labor,Own-child,White,Male,35.0,United-States,<=50K
41.0,Government,Some-College,17,Married,Craft-Labor,Ref-person,White,Female,40.0,Latin-America,<=50K
59.0,Self-Employed,HS-grad,16,Married,Healthcare-Service,Spouse,White,Female,15.0,United-States,<=50K
29.0,Private,Some-College,19,Married,Healthcare-Service,Spouse,Asian,Female,36.0,Asia,>50K
19.0,Private,Some-College,18,Never-married,Transport-Production,Ref-person,White,Male,12.0,United-States,<=50K
19.0,Government,Some-College,19,Never-married,Professional,Not-in-family,White,Female,14.0,United-States,<=50K
28.0,Private,Some-College,18,Never-married,Healthcare-Service,Other-relative,Black,Female,36.0,United-States,<=50K
55.0,Self-Employed,HS-grad,16,Never-married,Sales-Office,Other-relative,White,Male,1.0,United-States,<=50K
46.0,Private,Assoc-degree,20,Separated,Healthcare-Service,Ref-person,Black,Female,45.0,Latin-America,<=50K
24.0,Private,HS-grad,16,Never-married,Management,Unmarried-partner,Other,Male,50.0,United-States,<=50K
52.0,Government,Assoc-degree,20,Divorced,Healthcare-Service,Ref-person,Black,Male,50.0,Latin-America,>50K
64.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,45.0,United-States,<=50K
33.0,Private,Some-College,19,Never-married,Craft-Labor,Ref-person,White,Male,30.0,United-States,>50K
68.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,White,Male,5.0,United-States,>50K
33.0,Private,HS-grad,16,Never-married,Transport-Production,Own-child,White,Male,40.0,Latin-America,<=50K
62.0,Private,HS-grad,16,Married,Sales-Office,Spouse,White,Male,40.0,United-States,<=50K
76.0,Private,Graduate,23,Married,Healthcare-Service,Ref-person,White,Male,2.0,United-States,<=50K
54.0,Private,Some-College,17,Married,Transport-Production,Other-relative,Black,Female,40.0,United-States,<=50K
43.0,Private,HS-grad,16,Divorced,Healthcare-Service,Ref-person,Other,Female,52.0,Asia,<=50K
45.0,Private,Graduate,22,Divorced,Craft-Labor,Own-child,Black,Female,20.0,United-States,<=50K
40.0,Private,Some-College,19,Married,Craft-Labor,Ref-person,Black,Male,84.0,United-States,>50K
59.0,Private,Bachelors,21,Married,Professional,Spouse,White,Female,66.0,United-States,<=50K
26.0,Private,Assoc-degree,20,Married,Craft-Labor,Ref-person,White,Female,40.0,United-States,<=50K
35.0,Private,Graduate,22,Married,Professional,Ref-person,White,Male,40.0,United-States,>50K
25.0,Private,No-HS,15,Never-married,Professional,Other-relative,Black,Male,20.0,United-States,<=50K
18.0,Private,Some-College,18,Never-married,Sales-Office,Ref-person,White,Male,8.0,United-States,<=50K
29.0,Private,No-HS,15,Married,Sales-Office,Ref-person,White,Female,10.0,United-States,<=50K
57.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,White,Female,55.0,United-States,>50K
36.0,Private,No-HS,9,Married,Sales-Office,Spouse,Other,Male,40.0,Latin-America,<=50K
63.0,Self-Employed,Bachelors,21,Married,Craft-Labor,Spouse,White,Male,40.0,United-States,>50K
40.0,Private,Assoc-degree,20,Married,Healthcare-Service,Spouse,White,Male,45.0,United-States,>50K
40.0,Private,Graduate,22,Married,Management,Spouse,White,Male,40.0,United-States,>50K
55.0,Private,Some-College,17,Married,Transport-Production,Spouse,White,Male,40.0,United-States,<=50K
43.0,Private,Graduate,22,Married,Healthcare-Service,Ref-person,Black,Female,50.0,United-States,<=50K
62.0,Private,HS-grad,16,Married,Craft-Labor,Spouse,White,Female,20.0,United-States,<=50K
49.0,Private,Some-College,18,Divorced,Professional,Ref-person,White,Female,45.0,United-States,>50K
42.0,Government,HS-grad,16,Married,Craft-Labor,Spouse,White,Male,50.0,United-States,>50K
44.0,Private,Graduate,22,Married,Management,Ref-person,White,Male,50.0,United-States,>50K
25.0,Private,HS-grad,16,Never-married,Sales-Office,Own-child,Black,Male,40.0,United-States,<=50K
23.0,Private,Some-College,19,Never-married,Sales-Office,Own-child,White,Male,35.0,United-States,<=50K
33.0,Government,Graduate,24,Never-married,Professional,Ref-person,Asian,Male,40.0,Asia,>50K
57.0,Private,Graduate,22,Married,Management,Ref-person,White,Female,40.0,United-States,>50K
55.0,Private,HS-grad,16,Married,Transport-Production,Spouse,White,Male,40.0,Latin-America,<=50K
28.0,Self-Employed,HS-grad,16,Never-married,Sales-Office,Ref-person,Black,Female,80.0,United-States,>50K
22.0,Private,Assoc-degree,20,Never-married,Sales-Office,Not-in-family,White,Female,30.0,United-States,<=50K
68.0,Private,Bachelors,21,Married,Management,Spouse,White,Female,15.0,United-States,<=50K
53.0,Private,Assoc-degree,20,Married,Transport-Production,Spouse,Black,Female,40.0,Africa-Other,<=50K
38.0,Government,Graduate,22,Married,Professional,Ref-person,White,Female,40.0,United-States,>50K
38.0,Private,Some-College,18,Married,Sales-Office,Spouse,Black,Male,40.0,United-States,<=50K
39.0,Private,HS-grad,16,Married,Transport-Production,Ref-person,White,Male,45.0,United-States,<=50K
19.0,Private,HS-grad,16,Never-married,Transport-Production,Not-in-family,White,Male,30.0,United-States,<=50K
28.0,Private,Graduate,24,Married,Healthcare-Service,Spouse,Asian,Female,20.0,Asia,<=50K
74.0,Self-Employed,Graduate,24,Married,Healthcare-Service,Ref-person,White,Male,44.0,Latin-America,>50K
50.0,Private,HS-grad,16,Married,Transport-Production,Spouse,White,Female,40.0,Europe,<=50K
38.0,Private,Bachelors,21,Married,Craft-Labor,Spouse,White,Female,40.0,United-States,<=50K
18.0,Private,Some-College,19,Never-married,Sales-Office,Ref-person,White,Female,40.0,United-States,<=50K
54.0,Private,Some-College,19,Married,Management,Ref-person,White,Female,45.0,United-States,>50K
47.0,Self-Employed,Some-College,19,Divorced,Professional,Ref-person,White,Male,60.0,United-States,<=50K
46.0,Private,No-HS,6,Married,Transport-Production,Spouse,White,Male,40.0,Latin-America,<=50K
37.0,Private,No-HS,13,Separated,Transport-Production,Ref-person,White,Female,40.0,Latin-America,<=50K
34.0,Private,HS-grad,16,Never-married,Management,Ref-person,White,Female,40.0,United-States,<=50K
52.0,Private,Bachelors,21,Divorced,Management,Ref-person,White,Female,60.0,Latin-America,<=50K
36.0,Private,Some-College,19,Married,Management,Ref-person,White,Female,45.0,United-States,>50K
66.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,Black,Female,8.0,United-States,<=50K
38.0,Private,Assoc-degree,20,Divorced,Craft-Labor,Own-child,White,Female,40.0,United-States,>50K
23.0,Private,Some-College,19,Never-married,Craft-Labor,Not-in-family,White,Male,40.0,Latin-America,<=50K
32.0,Self-Employed,Some-College,18,Married,Transport-Production,Own-child,White,Male,60.0,Latin-America,>50K
39.0,Government,Graduate,22,Never-married,Management,Unmarried-partner,Asian,Female,40.0,Asia,>50K
25.0,Private,Some-College,19,Never-married,Management,Ref-person,White,Female,40.0,United-States,<=50K
18.0,Private,HS-grad,16,Never-married,Sales-Office,Own-child,Asian,Male,12.0,Asia,<=50K
33.0,Private,Graduate,22,Never-married,Professional,Own-child,Other,Female,30.0,United-States,<=50K
45.0,Private,Some-College,18,Married,Professional,Spouse,White,Female,50.0,United-States,<=50K
29.0,Private,Some-College,19,Married,Professional,Ref-person,White,Male,75.0,United-States,<=50K
19.0,Private,HS-grad,16,Never-married,Sales-Office,Not-in-family,Black,Female,25.0,United-States,<=50K
63.0,Private,Graduate,24,Married,Management,Spouse,White,Female,40.0,United-States,>50K
61.0,Government,Some-College,18,Married,Sales-Office,Spouse,White,Female,45.0,United-States,>50K
62.0,Self-Employed,HS-grad,16,Married,Transport-Production,Ref-person,White,Male,70.0,United-States,<=50K
31.0,Private,Some-College,19,Never-married,Sales-Office,Ref-person,White,Female,40.0,United-States,<=50K
32.0,Private,HS-grad,16,Divorced,Craft-Labor,Ref-person,White,Male,87.0,United-States,>50K
47.0,Self-Employed,No-HS,12,Married,Sales-Office,Ref-person,White,Male,40.0,Latin-America,>50K
52.0,Private,Assoc-degree,20,Divorced,Management,Ref-person,White,Female,30.0,United-States,<=50K
27.0,Private,Assoc-degree,20,Married,Sales-Office,Ref-person,White,Male,60.0,United-States,>50K
52.0,Private,HS-grad,16,Divorced,Sales-Office,Ref-person,White,Female,40.0,United-States,>50K
20.0,Private,Some-College,19,Never-married,Sales-Office,Own-child,White,Male,32.0,United-States,<=50K
20.0,Government,Some-College,19,Never-married,Professional,Not-in-family,White,Male,35.0,United-States,<=50K
29.0,Private,HS-grad,16,Married,Transport-Production,Spouse,White,Male,60.0,United-States,>50K
22.0,Private,No-HS,13,Never-married,Healthcare-Service,Own-child,White,Male,25.0,United-States,<=50K
46.0,Self-Employed,Bachelors,21,Married,Professional,Spouse,White,Female,40.0,United-States,>50K
28.0,Government,Bachelors,21,Never-married,Professional,Not-in-family,White,Female,30.0,United-States,<=50K
40.0,Private,Some-College,19,Divorced,Craft-Labor,Ref-person,White,Male,40.0,United-States,<=50K
64.0,Private,Bachelors,21,Married,Sales-Office,Ref-person,White,Male,50.0,United-States,>50K
38.0,Private,Bachelors,21,Married,Professional,Spouse,White,Female,40.0,Asia,>50K
39.0,Private,Assoc-degree,20,Married,Professional,Ref-person,White,Male,40.0,United-States,>50K
34.0,Government,Bachelors,21,Never-married,Transport-Production,Ref-person,Black,Female,40.0,Europe,>50K
44.0,Private,Some-College,18,Divorced,Transport-Production,Ref-person,White,Female,20.0,United-States,<=50K
54.0,Private,Assoc-degree,20,Married,Healthcare-Service,Spouse,White,Female,30.0,United-States,<=50K
60.0,Private,HS-grad,16,Married,Craft-Labor,Ref-person,White,Male,48.0,United-States,>50K
20.0,Government,Assoc-degree,20,Never-married,Professional,Own-child,White,Female,32.0,United-States,<=50K
49.0,Government,Bachelors,21,Divorced,Professional,Ref-person,White,Female,55.0,United-States,>50K
59.0,Private,Bachelors,21,Never-married,Professional,Own-child,White,Male,60.0,United-States,>50K
58.0,Self-Employed,Bachelors,21,Married,Professional,Spouse,White,Female,20.0,United-States,<=50K
34.0,Self-Employed,Assoc-degree,20,Never-married,Sales-Office,Not-in-family,Black,Female,40.0,United-States,<=50K
67.0,Private,Some-College,19,Married,Management,Ref-person,White,Male,50.0,United-States,>50K
43.0,Private,Graduate,22,Married,Professional,Ref-person,White,Male,40.0,United-States,>50K
53.0,Private,Some-College,18,Separated,Craft-Labor,Ref-person,White,Female,40.0,United-States,<=50K
49.0,Private,HS-grad,16,Married,Transport-Production,Spouse,White,Female,30.0,Latin-America,<=50K
38.0,Self-Employed,Some-College,17,Married,Sales-Office,Own-child,White,Female,30.0,Latin-America,<=50K
56.0,Private,Some-College,18,Married,Sales-Office,Ref-person,White,Female,40.0,United-States,>50K
18.0,Private,No-HS,14,Never-married,Sales-Office,Own-child,White,Female,25.0,United-States,<=50K
46.0,Self-Employed,Assoc-degree,20,Married,Craft-Labor,Spouse,White,Male,65.0,United-States,<=50K
64.0,Private,Bachelors,21,Married,Craft-Labor,Ref-person,White,Female,60.0,United-States,>50K
55.0,Private,No-HS,15,Married,Sales-Office,Other-relative,White,Male,40.0,United-States,<=50K
17.0,Private,No-HS,14,Never-married,Transport-Production,Own-child,White,Female,12.0,United-States,<=50K
66.0,Self-Employed,Some-College,19,Married,Craft-Labor,Ref-person,White,Male,40.0,United-States,>50K
68.0,Private,No-HS,7,Married,Transport-Production,Spouse,White,Male,30.0,Latin-America,<=50K
68.0,Private,Graduate,22,Divorced,Professional,Ref-person,White,Female,35.0,United-States,>50K
30.0,Private,HS-grad,16,Never-married,Sales-Office,Other-relative,White,Female,40.0,United-States,<=50K
40.0,Government,Graduate,22,Married,Professional,Spouse,White,Female,46.0,United-States,<=50K
25.0,Self-Employed,No-HS,13,Never-married,Sales-Office,Own-child,White,Male,30.0,United-States,<=50K
49.0,Government,HS-grad,16,Married,Craft-Labor,Ref-person,White,Male,40.0,United-States,>50K
24.0,Private,Some-College,17,Married,Sales-Office,Spouse,White,Female,45.0,United-States,<=50K
60.0,Government,Some-College,17,Divorced,Craft-Labor,Ref-person,White,Female,40.0,United-States,<=50K
54.0,Private,No-HS,11,Divorced,Sales-Office,Not-in-family,Other,Female,40.0,Latin-America,<=50K
42.0,Private,No-HS,12,Married,Transport-Production,Spouse,White,Male,40.0,United-States,<=50K
23.0,Private,HS-grad,16,Never-married,Transport-Production,Other-relative,Black,Female,40.0,United-States,<=50K
54.0,Private,Graduate,22,Married,Management,Ref-person,White,Male,48.0,United-States,>50K
49.0,Private,Graduate,22,Married,Healthcare-Service,Spouse,Asian,Female,24.0,Asia,>50K
83.0,Self-Employed,Graduate,22,Married,Sales-Office,Ref-person,White,Male,40.0,United-States,>50K
28.0,Private,Bachelors,21,Never-married,Sales-Office,Unmarried-partner,White,Male,28.0,United-States,<=50K
45.0,Private,No-HS,1,Never-married,Management,Not-in-family,Asian,Female,40.0,United-States,<=50K
32.0,Private,Graduate,22,Married,Sales-Office,Spouse,White,Female,50.0,United-States,<=50K
23.0,Private,Some-College,17,Married,Transport-Production,Not-in-family,White,Male,40.0,United-States,<=50K
70.0,Private,Bachelors,21,Married,Professional,Ref-person,White,Male,40.0,United-States,>50K
56.0,Private,Some-College,19,Never-married,Transport-Production,Ref-person,White,Male,50.0,United-States,>50K
59.0,Government,Some-College,18,Never-married,Craft-Labor,Other-relative,White,Female,65.0,United-States,<=50K
37.0,Private,Bachelors,21,Married,Management,Ref-person,White,Female,45.0,United-States,>50K
27.0,Government,Graduate,22,Married,Professional,Ref-person,Asian,Male,20.0,Asia,<=50K
39.0,Private,Some-College,19,Married,Management,Ref-person,White,Female,45.0,United-States,<=50K
31.0,Private,Bachelors,21,Never-married,Professional,Ref-person,White,Male,30.0,United-States,<=50K
17.0,Private,No-HS,14,Never-married,Sales-Office,Other-relative,Other,Male,12.0,United-States,<=50K
20.0,Private,Some-College,19,Never-married,Transport-Production,Ref-person,White,Female,40.0,Latin-America,<=50K
