"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 LR1)","2024-Jun-07 13:05 ± < 00:01","0.07412","0.07395","13.02","13.01","22.6","79 m -  180 m","0"
"(2024 BD4)","2024-Jun-07 14:21 ±    00:05","0.06342","0.06337","1.26","1.23","26.5","13 m -   30 m","0"
"(2024 LU4)","2024-Jun-07 18:35 ± < 00:01","0.02873","0.02849","13.01","13.01","25.4","22 m -   50 m","0"
"(2024 LA)","2024-Jun-07 22:20 ± < 00:01","0.01202","0.01198","18.26","18.25","25.8","18 m -   41 m","0"
"(2024 MJ)","2024-Jun-08 03:16 ± < 00:01","0.06405","0.06351","10.92","10.92","24.2","38 m -   86 m","0"
"(2024 LC)","2024-Jun-08 12:18 ± < 00:01","0.03135","0.03127","8.70","8.70","25.6","20 m -   45 m","0"
"(2024 LW2)","2024-Jun-08 16:09 ± < 00:01","0.01118","0.01116","7.68","7.65","25.8","19 m -   42 m","0"
"(2024 LZ1)","2024-Jun-09 16:12 ± < 00:01","0.01052","0.01051","9.06","9.03","26.4","14 m -   32 m","0"
"(2019 WD5)","2024-Jun-10 06:56 ± < 00:01","0.08017","0.08017","15.82","15.82","21.9","110 m -  250 m","0"
"(2024 MZ1)","2024-Jun-11 10:44 ±    00:13","0.07015","0.06891","12.19","12.19","23.7","48 m -  110 m","0"
"(2024 LD)","2024-Jun-11 11:06 ± < 00:01","0.03090","0.03071","10.67","10.66","26.1","16 m -   36 m","0"
"(2024 LV2)","2024-Jun-11 14:21 ± < 00:01","0.03146","0.03131","28.22","28.22","23.4","57 m -  130 m","0"
"(2024 KL)","2024-Jun-12 07:55 ± < 00:01","0.07402","0.07335","8.55","8.54","23.8","45 m -  100 m","0"
"(2022 XC1)","2024-Jun-12 07:59 ±    07:48","0.04210","0.03730","6.48","6.47","26.2","15 m -   34 m","0"
"(2024 NP)","2024-Jun-12 20:38 ±    00:02","0.06520","0.06501","7.52","7.52","25.1","26 m -   58 m","0"
"(2024 MG)","2024-Jun-13 06:27 ±    00:07","0.00805","0.00793","8.92","8.88","26.2","15 m -   34 m","0"
"(2024 MM1)","2024-Jun-13 07:45 ±    00:02","0.02992","0.02969","3.62","3.59","26.2","15 m -   34 m","0"
"(2024 MB1)","2024-Jun-13 13:27 ±    00:04","0.01657","0.01650","4.45","4.41","27.2","9.5 m -   21 m","0"
"(2024 BS19)","2024-Jun-13 15:17 ± < 00:01","0.09959","0.09958","11.44","11.43","21.3","150 m -  330 m","0"
"(2024 LS5)","2024-Jun-13 17:40 ± < 00:01","0.01648","0.01640","16.47","16.46","26.0","17 m -   38 m","0"
"(2024 LR5)","2024-Jun-14 12:24 ±    00:01","0.00999","0.00997","5.85","5.80","28.3","5.7 m -   13 m","0"
"(2024 LZ2)","2024-Jun-14 18:18 ± < 00:01","0.00886","0.00883","20.37","20.35","26.2","15 m -   34 m","0"
"(2024 MB)","2024-Jun-14 19:55 ± < 00:01","0.02389","0.02381","7.69","7.68","25.8","19 m -   42 m","0"
"(2024 MM)","2024-Jun-15 02:48 ± < 00:01","0.06574","0.06562","7.62","7.61","24.5","34 m -   75 m","0"
"(2024 LL1)","2024-Jun-15 07:58 ± < 00:01","0.01332","0.01329","9.22","9.20","26.2","16 m -   35 m","0"
"(2024 LW5)","2024-Jun-15 17:00 ± < 00:01","0.07609","0.07581","6.97","6.97","25.6","20 m -   44 m","0"
"(2024 LS4)","2024-Jun-15 23:21 ±    00:02","0.02853","0.02845","4.79","4.77","26.0","17 m -   37 m","0"
"(2024 KK)","2024-Jun-16 03:07 ± < 00:01","0.05342","0.05315","7.83","7.82","24.6","32 m -   71 m","0"
"(2019 LR1)","2024-Jun-16 10:48 ± 1_19:29","0.09606","0.08659","9.59","9.59","24.4","34 m -   77 m","0"
"(2024 LB4)","2024-Jun-16 11:24 ± < 00:01","0.01940","0.01936","7.60","7.58","25.5","21 m -   47 m","0"
"(2024 LP4)","2024-Jun-16 21:12 ± < 00:01","0.05474","0.05428","11.18","11.17","23.5","53 m -  120 m","0"
"(2024 LH3)","2024-Jun-16 21:52 ± < 00:01","0.03327","0.03320","6.13","6.11","24.4","36 m -   80 m","0"
"(2024 MD)","2024-Jun-17 01:20 ± < 00:01","0.00258","0.00257","5.77","5.59","27.9","7.0 m -   16 m","0"
"(2024 NJ1)","2024-Jun-17 07:38 ±    00:24","0.02765","0.02741","5.08","5.06","24.8","30 m -   66 m","0"
"(2024 LU1)","2024-Jun-17 10:04 ± < 00:01","0.01237","0.01234","7.11","7.08","26.0","17 m -   38 m","0"
"(2022 WW11)","2024-Jun-17 11:34 ±    23:07","0.05035","0.04047","14.36","14.36","26.9","11 m -   25 m","0"
"(2024 KW1)","2024-Jun-17 22:51 ± < 00:01","0.05082","0.05079","3.98","3.97","25.5","21 m -   48 m","0"
"(2024 MA)","2024-Jun-18 21:32 ± < 00:01","0.01065","0.01064","11.24","11.21","26.5","13 m -   30 m","0"
"(2024 KY1)","2024-Jun-19 17:32 ± < 00:01","0.04120","0.04110","12.22","12.22","25.0","27 m -   60 m","0"
"(2024 MS)","2024-Jun-19 22:39 ± < 00:01","0.00470","0.00470","2.87","2.67","29.0","4.3 m -  9.5 m","0"
"(2010 XB24)","2024-Jun-20 08:13 ± < 00:01","0.08794","0.08794","10.69","10.69","21.8","110 m -  260 m","0"
"(2021 FO1)","2024-Jun-21 11:24 ± 9_12:57","0.05466","0.03470","5.94","5.93","29.5","3.4 m -  7.6 m","0"
"(2024 LG5)","2024-Jun-21 12:28 ± < 00:01","0.01564","0.01560","7.54","7.52","26.6","13 m -   28 m","0"
"(2013 ND15)","2024-Jun-21 20:21 ±    13:50","0.08063","0.03363","17.43","17.43","24.1","40 m -   90 m","0"
"(2024 LO2)","2024-Jun-21 23:15 ± < 00:01","0.03631","0.03626","9.15","9.14","25.5","21 m -   47 m","0"
"(2024 RY19)","2024-Jun-22 01:16 ±    00:33","0.05592","0.05569","2.48","2.46","25.7","19 m -   43 m","0"
"(2024 MT)","2024-Jun-22 08:26 ± < 00:01","0.02406","0.02400","9.51","9.49","24.8","29 m -   65 m","0"
"(2002 MN)","2024-Jun-22 22:01 ± < 00:01","0.06730","0.06730","12.42","12.42","23.6","51 m -  110 m","0"
"(2024 MP2)","2024-Jun-23 01:02 ± < 00:01","0.03136","0.03125","12.76","12.75","24.7","30 m -   67 m","0"
"(2024 MO1)","2024-Jun-23 16:00 ± < 00:01","0.06629","0.06547","21.50","21.49","23.5","53 m -  120 m","0"
"(2024 MS2)","2024-Jun-23 17:38 ±    00:09","0.01504","0.01488","10.90","10.89","26.0","17 m -   38 m","0"
"(2024 KN1)","2024-Jun-23 18:09 ± < 00:01","0.03751","0.03744","4.58","4.57","25.5","21 m -   47 m","0"
"(2008 TD)","2024-Jun-23 18:59 ± 1_10:39","0.09968","0.08991","10.43","10.43","25.4","22 m -   49 m","0"
"(2024 MU)","2024-Jun-24 14:48 ±    00:26","0.04777","0.04710","6.01","6.00","26.1","16 m -   36 m","0"
"(2024 MD1)","2024-Jun-24 20:44 ± < 00:01","0.01245","0.01242","7.23","7.20","25.9","18 m -   40 m","0"
"(2024 MV)","2024-Jun-25 00:07 ± < 00:01","0.00312","0.00312","7.39","7.28","26.8","11 m -   26 m","0"
"(2024 KJ)","2024-Jun-25 08:51 ±    00:01","0.03515","0.03506","4.51","4.50","25.8","18 m -   41 m","0"
"(2024 JX12)","2024-Jun-25 09:20 ± < 00:01","0.05457","0.05455","12.35","12.34","22.5","84 m -  190 m","0"
"(2024 EV1)","2024-Jun-25 15:24 ± < 00:01","0.08733","0.08733","7.21","7.21","22.6","80 m -  180 m","0"
"(2024 LO5)","2024-Jun-25 16:26 ± < 00:01","0.01310","0.01308","7.93","7.91","26.3","15 m -   33 m","0"
"385843 (2006 JY25)","2024-Jun-25 22:19 ± < 00:01","0.08650","0.08650","16.60","16.59","20.5","210 m -  470 m","0"
"(2023 HM)","2024-Jun-26 09:34 ±    04:54","0.09588","0.07628","17.02","17.02","27.8","7.3 m -   16 m","0"
"(2023 DH1)","2024-Jun-27 04:31 ±    00:27","0.06075","0.06034","7.97","7.96","26.7","12 m -   27 m","0"
"(2024 ME2)","2024-Jun-27 06:55 ± < 00:01","0.02548","0.02547","20.44","20.44","23.8","45 m -  100 m","0"
"(2024 NW1)","2024-Jun-27 08:12 ±    00:34","0.06608","0.06545","6.11","6.10","26.4","14 m -   32 m","0"
"(2024 LC4)","2024-Jun-27 10:40 ± < 00:01","0.06073","0.06064","16.26","16.26","23.0","66 m -  150 m","0"
"(2024 LR)","2024-Jun-27 13:50 ±    00:01","0.08629","0.08611","6.18","6.17","23.2","61 m -  140 m","0"
"(2019 WW)","2024-Jun-27 21:03 ± < 00:01","0.08655","0.08655","8.26","8.26","24.5","33 m -   74 m","0"
"(2022 MM1)","2024-Jun-28 00:16 ± < 00:01","0.01989","0.01989","10.92","10.90","24.8","29 m -   65 m","0"
"(2019 NJ)","2024-Jun-28 01:48 ± < 00:01","0.03840","0.03839","10.07","10.06","23.7","49 m -  110 m","0"
"(2024 MW1)","2024-Jun-28 02:15 ±    00:25","0.05339","0.05133","9.39","9.39","24.1","40 m -   90 m","0"
"(2010 XN)","2024-Jun-28 03:13 ± < 00:01","0.03618","0.03618","11.32","11.32","24.2","39 m -   87 m","0"
"(2024 NQ1)","2024-Jun-28 04:37 ± < 00:01","0.05873","0.05854","14.10","14.10","23.3","58 m -  130 m","0"
"469445 (2002 LT24)","2024-Jun-28 06:21 ± < 00:01","0.05550","0.05550","9.03","9.03","22.2","0.143±0.024 km","0"
"(2024 MW)","2024-Jun-28 07:11 ± < 00:01","0.00062","0.00062","13.59","13.27","29.3","3.6 m -  8.1 m","0"
"(2024 MS1)","2024-Jun-28 20:14 ± < 00:01","0.00610","0.00608","15.78","15.75","25.9","17 m -   39 m","0"
"(2024 MY1)","2024-Jun-28 21:25 ± < 00:01","0.06367","0.06350","7.84","7.83","25.3","23 m -   51 m","0"
"(2022 HD1)","2024-Jun-29 04:10 ± < 00:01","0.04215","0.04215","7.17","7.16","23.7","47 m -  110 m","0"
"(2024 NF1)","2024-Jun-30 05:48 ± < 00:01","0.07116","0.07104","13.70","13.70","24.5","34 m -   75 m","0"
"(2014 DH)","2024-Jun-30 08:20 ±    05:45","0.07314","0.00598","8.69","8.69","26.6","13 m -   28 m","0"
"(2017 MB3)","2024-Jun-30 09:51 ± < 00:01","0.01284","0.01284","6.46","6.43","25.4","22 m -   49 m","0"
"(2024 LJ2)","2024-Jul-01 08:25 ± < 00:01","0.05073","0.05064","10.39","10.38","23.2","62 m -  140 m","0"
"(2002 MR3)","2024-Jul-01 14:34 ± < 00:01","0.07943","0.07943","21.36","21.36","21.4","140 m -  310 m","0"
"(2022 BY39)","2024-Jul-02 02:12 ±    01:25","0.03389","0.03380","2.97","2.95","29.9","2.7 m -  6.1 m","0"
"(2024 NT2)","2024-Jul-02 02:32 ±    00:09","0.05347","0.05304","6.52","6.51","25.9","17 m -   39 m","0"
"(2024 NT1)","2024-Jul-02 04:04 ±    00:10","0.09402","0.09285","7.74","7.74","24.9","28 m -   62 m","0"
"(2024 LH)","2024-Jul-02 11:08 ± < 00:01","0.01121","0.01117","4.33","4.28","25.2","24 m -   53 m","0"
"(2024 NC)","2024-Jul-02 16:43 ± < 00:01","0.03483","0.03468","5.51","5.50","25.0","27 m -   61 m","0"
"(2024 NY2)","2024-Jul-02 21:46 ± < 00:01","0.04735","0.04710","7.27","7.26","24.5","33 m -   74 m","0"
"(2024 NB)","2024-Jul-02 23:51 ± < 00:01","0.01212","0.01210","12.73","12.71","25.7","19 m -   43 m","0"
"(2024 NH3)","2024-Jul-03 17:05 ± < 00:01","0.04764","0.04734","11.68","11.68","22.9","69 m -  150 m","0"
"(2024 NE)","2024-Jul-03 20:04 ± < 00:01","0.03466","0.03456","15.61","15.61","23.9","44 m -   99 m","0"
"(2024 KQ1)","2024-Jul-04 04:07 ± < 00:01","0.03811","0.03810","6.88","6.87","24.0","42 m -   95 m","0"
"(2024 NM1)","2024-Jul-06 00:05 ± < 00:01","0.00456","0.00456","17.95","17.92","26.6","13 m -   29 m","0"
"(2017 ND)","2024-Jul-07 16:07 ± 6_06:30","0.06775","0.00821","7.34","7.33","24.7","31 m -   68 m","0"
"(2024 MK2)","2024-Jul-08 13:17 ±    00:01","0.07398","0.07346","9.23","9.22","24.1","41 m -   91 m","0"
"(2024 NP3)","2024-Jul-08 14:45 ±    00:05","0.08618","0.08424","13.70","13.70","22.5","83 m -  180 m","0"
"(2024 OV)","2024-Jul-08 19:31 ±    00:20","0.06767","0.06669","11.25","11.25","23.5","52 m -  120 m","0"
"(2024 MK1)","2024-Jul-08 20:28 ±    00:03","0.09770","0.09701","12.12","12.11","24.0","43 m -   96 m","0"
"(2024 OG)","2024-Jul-08 21:25 ±    00:02","0.04137","0.04117","4.83","4.82","25.4","22 m -   48 m","0"
"(2024 NB1)","2024-Jul-09 14:54 ± < 00:01","0.03738","0.03721","9.72","9.72","23.8","46 m -  100 m","0"
"(2024 LN5)","2024-Jul-09 16:29 ± < 00:01","0.06558","0.06552","7.53","7.52","25.0","27 m -   60 m","0"
"(2024 NR1)","2024-Jul-09 21:35 ± < 00:01","0.04335","0.04317","8.38","8.37","25.7","19 m -   42 m","0"
"(2024 AP3)","2024-Jul-09 23:06 ± < 00:01","0.09354","0.09354","14.64","14.64","24.4","36 m -   80 m","0"
"(2024 NA2)","2024-Jul-09 23:35 ± < 00:01","0.01501","0.01499","4.06","4.02","25.2","24 m -   55 m","0"
"(2024 ME)","2024-Jul-10 00:16 ± < 00:01","0.09923","0.09922","8.23","8.23","21.5","130 m -  300 m","0"
"(2024 ME1)","2024-Jul-10 14:37 ± < 00:01","0.02904","0.02895","8.39","8.38","24.7","30 m -   68 m","0"
"(2024 NK3)","2024-Jul-11 06:20 ± < 00:01","0.00079","0.00079","10.58","10.26","28.7","4.9 m -   11 m","0"
"(2016 NB1)","2024-Jul-11 07:41 ± < 00:01","0.07616","0.07615","8.44","8.44","23.9","44 m -   99 m","0"
"(2022 YS5)","2024-Jul-11 13:30 ± < 00:01","0.02816","0.02816","5.83","5.82","24.8","29 m -   64 m","0"
"(2019 AP8)","2024-Jul-11 14:28 ± < 00:01","0.08703","0.08703","1.29","1.27","24.5","33 m -   75 m","0"
"(2024 LX5)","2024-Jul-11 23:51 ± < 00:01","0.06719","0.06715","7.47","7.47","24.4","35 m -   79 m","0"
"(2024 QY1)","2024-Jul-12 00:39 ±    00:02","0.05739","0.05734","3.59","3.57","24.9","28 m -   64 m","0"
"(2024 PM1)","2024-Jul-12 09:24 ±    04:19","0.08622","0.08425","9.15","9.15","24.0","42 m -   95 m","0"
"(2024 OU)","2024-Jul-12 10:40 ±    00:05","0.03620","0.03604","8.48","8.47","24.3","36 m -   81 m","0"
"(2024 NC2)","2024-Jul-12 11:42 ±    00:02","0.06254","0.06219","8.39","8.39","24.9","27 m -   61 m","0"
"(2024 MH2)","2024-Jul-12 17:09 ± < 00:01","0.06241","0.06238","12.39","12.39","23.5","54 m -  120 m","0"
"(2024 OT)","2024-Jul-13 02:34 ±    00:09","0.02836","0.02820","8.33","8.31","24.9","28 m -   63 m","0"
"(2024 NG)","2024-Jul-13 07:58 ±    00:05","0.02303","0.02289","7.04","7.02","26.5","13 m -   30 m","0"
"(2012 VC26)","2024-Jul-13 17:06 ± 4_20:57","0.07101","0.05938","3.73","3.72","28.7","4.8 m -   11 m","0"
"(2024 NB2)","2024-Jul-13 19:35 ± < 00:01","0.02564","0.02551","13.27","13.27","25.1","25 m -   56 m","0"
"(2024 BY15)","2024-Jul-16 06:57 ±    00:02","0.04143","0.04142","0.71","0.61","26.7","12 m -   27 m","0"
"(2024 NJ3)","2024-Jul-17 11:22 ± < 00:01","0.00820","0.00819","6.44","6.39","26.9","11 m -   25 m","0"
"(2024 NF)","2024-Jul-17 11:28 ± < 00:01","0.03231","0.03223","20.29","20.28","23.5","52 m -  120 m","0"
"(2024 PM)","2024-Jul-17 14:15 ±    00:01","0.07199","0.07191","11.04","11.04","23.2","62 m -  140 m","0"
"(2024 MD3)","2024-Jul-18 00:21 ±    00:02","0.09669","0.09625","8.55","8.55","23.4","56 m -  130 m","0"
"(2024 OO2)","2024-Jul-20 08:22 ±    00:04","0.07925","0.07810","11.37","11.36","24.3","37 m -   84 m","0"
"(2024 PL6)","2024-Jul-21 03:31 ±    00:01","0.06890","0.06741","10.25","10.24","25.0","27 m -   60 m","0"
"(2024 MG1)","2024-Jul-21 21:31 ± < 00:01","0.02841","0.02837","9.35","9.34","24.0","43 m -   96 m","0"
"(2024 PU)","2024-Jul-22 11:35 ±    00:24","0.01407","0.01395","9.58","9.56","26.0","17 m -   38 m","0"
"(2024 OY1)","2024-Jul-22 13:47 ±    00:03","0.01678","0.01667","10.93","10.92","26.1","16 m -   37 m","0"
"(2024 NH)","2024-Jul-23 03:18 ± < 00:01","0.03363","0.03352","5.46","5.44","25.4","22 m -   49 m","0"
"(2024 PG1)","2024-Jul-23 03:55 ±    00:14","0.04740","0.04681","11.53","11.53","24.1","40 m -   90 m","0"
"(2024 MC1)","2024-Jul-23 05:57 ±    00:02","0.07067","0.07036","5.95","5.94","24.1","41 m -   91 m","0"
"(2024 OP)","2024-Jul-24 03:51 ± < 00:01","0.02358","0.02349","10.70","10.69","24.3","37 m -   82 m","0"
"(2024 PL)","2024-Jul-24 11:01 ±    00:35","0.07625","0.07547","8.28","8.28","25.1","26 m -   58 m","0"
"(2022 MS)","2024-Jul-24 19:46 ± 3_11:26","0.08709","0.06977","7.24","7.24","25.6","20 m -   45 m","0"
"(2024 PX)","2024-Jul-25 04:02 ±    00:03","0.09865","0.09777","11.91","11.91","23.9","45 m -  100 m","0"
"(2021 PK1)","2024-Jul-25 14:48 ± 4_20:01","0.08015","0.04929","9.93","9.93","25.9","17 m -   38 m","0"
"(2024 NV1)","2024-Jul-25 17:33 ± < 00:01","0.03600","0.03580","10.17","10.16","25.2","24 m -   54 m","0"
"(2024 NN1)","2024-Jul-25 18:52 ± < 00:01","0.05254","0.05234","13.06","13.06","22.4","89 m -  200 m","0"
"(2024 OA2)","2024-Jul-25 19:35 ± < 00:01","0.01095","0.01090","9.15","9.12","27.4","8.6 m -   19 m","0"
"(2020 PP1)","2024-Jul-25 22:05 ± < 00:01","0.07482","0.07482","4.85","4.84","26.7","12 m -   27 m","0"
"(2024 OJ)","2024-Jul-26 01:14 ± < 00:01","0.03362","0.03328","7.92","7.91","26.1","16 m -   35 m","0"
"(2024 RA16)","2024-Jul-26 06:17 ±    00:08","0.01023","0.01021","1.28","1.06","28.8","4.5 m -   10 m","0"
"(2024 MH1)","2024-Jul-26 08:41 ± < 00:01","0.01201","0.01200","5.81","5.77","25.5","21 m -   48 m","0"
"(2024 OG2)","2024-Jul-27 13:28 ± < 00:01","0.00187","0.00187","10.23","10.09","29.1","4.1 m -  9.1 m","0"
"(2024 OZ1)","2024-Jul-27 18:43 ±    00:03","0.01263","0.01229","11.40","11.38","25.8","19 m -   42 m","0"
"(2024 QJ1)","2024-Jul-27 23:25 ±    00:06","0.04991","0.04960","6.14","6.13","25.1","25 m -   57 m","0"
"(2024 NZ1)","2024-Jul-28 01:30 ± < 00:01","0.04988","0.04970","12.75","12.74","24.0","42 m -   94 m","0"
"(2024 OE2)","2024-Jul-28 05:29 ± < 00:01","0.01531","0.01525","8.78","8.76","27.2","9.5 m -   21 m","0"
"(2024 OK)","2024-Jul-28 23:49 ±    00:14","0.01765","0.01760","4.59","4.56","27.4","8.7 m -   19 m","0"
"(2024 OH)","2024-Jul-29 04:32 ± < 00:01","0.04920","0.04898","12.59","12.58","24.7","31 m -   69 m","0"
"(2024 OO1)","2024-Jul-29 14:48 ± < 00:01","0.03697","0.03683","10.03","10.02","24.8","30 m -   66 m","0"
"(2024 OF)","2024-Jul-29 19:42 ± < 00:01","0.04783","0.04763","10.10","10.09","23.7","49 m -  110 m","0"
"(2024 OB1)","2024-Jul-29 23:53 ±    00:02","0.03796","0.03776","9.10","9.09","25.2","24 m -   54 m","0"
"(2024 OS1)","2024-Jul-30 05:19 ± < 00:01","0.03073","0.03056","14.10","14.10","24.4","35 m -   78 m","0"
"(2024 PC)","2024-Jul-30 11:57 ± < 00:01","0.00819","0.00817","6.81","6.76","26.4","14 m -   31 m","0"
"(2000 UK11)","2024-Jul-30 14:51 ± < 00:01","0.09549","0.09548","9.18","9.17","25.3","23 m -   52 m","0"
"(2024 OT1)","2024-Jul-30 15:09 ± < 00:01","0.00562","0.00561","14.57","14.54","26.6","13 m -   29 m","0"
"(2024 PD)","2024-Jul-31 03:33 ±    00:14","0.08049","0.07918","12.23","12.23","24.5","33 m -   73 m","0"
"(2024 GD2)","2024-Jul-31 07:35 ±    18:59","0.09598","0.09164","3.08","3.08","25.6","21 m -   46 m","0"
"(2024 RF16)","2024-Jul-31 09:20 ±    00:08","0.09003","0.08963","6.47","6.47","24.8","29 m -   65 m","0"
"(2024 OW1)","2024-Jul-31 16:19 ±    00:02","0.08101","0.08033","6.97","6.96","24.8","29 m -   65 m","0"
"(2024 PD4)","2024-Aug-01 02:53 ±    03:25","0.02440","0.02434","1.15","1.05","27.2","9.5 m -   21 m","0"
"(2024 OO)","2024-Aug-01 13:59 ± < 00:01","0.01321","0.01315","11.35","11.33","25.5","21 m -   47 m","0"
"(2024 PP2)","2024-Aug-01 17:10 ±    00:04","0.07861","0.07816","6.48","6.47","25.1","26 m -   57 m","0"
"(2024 PE2)","2024-Aug-02 00:16 ±    00:02","0.01840","0.01821","18.80","18.80","26.2","16 m -   35 m","0"
"(2020 PN1)","2024-Aug-02 13:01 ± < 00:01","0.04608","0.04608","5.51","5.50","25.4","22 m -   48 m","0"
"(2024 PA)","2024-Aug-02 19:16 ± < 00:01","0.04524","0.04518","8.06","8.06","25.0","27 m -   61 m","0"
"(2024 PP1)","2024-Aug-03 07:00 ±    00:03","0.00554","0.00552","10.73","10.69","27.8","7.3 m -   16 m","0"
"(2024 PO)","2024-Aug-03 14:44 ± < 00:01","0.00928","0.00927","11.49","11.46","26.9","11 m -   25 m","0"
"(2024 OJ2)","2024-Aug-03 22:15 ±    00:01","0.04789","0.04763","10.43","10.42","25.0","27 m -   61 m","0"
"(2024 PW2)","2024-Aug-04 07:03 ± < 00:01","0.08288","0.08287","6.82","6.82","24.7","30 m -   67 m","0"
"(2024 PM2)","2024-Aug-04 07:43 ±    00:01","0.05114","0.05090","8.36","8.35","24.8","30 m -   66 m","0"
"(2020 MP2)","2024-Aug-04 09:56 ± < 00:01","0.09347","0.09347","12.77","12.76","22.2","95 m -  210 m","0"
"(2024 PQ)","2024-Aug-04 14:58 ± < 00:01","0.00665","0.00665","5.33","5.26","27.8","7.4 m -   17 m","0"
"(2024 OC)","2024-Aug-04 16:10 ± < 00:01","0.04964","0.04929","10.00","9.99","22.1","99 m -  220 m","0"
"(2024 PG2)","2024-Aug-04 19:49 ±    00:01","0.00374","0.00373","14.65","14.61","27.1","10 m -   23 m","0"
"(2024 PY)","2024-Aug-04 21:36 ± < 00:01","0.00063","0.00063","8.35","7.83","29.4","3.5 m -  7.8 m","0"
"(2023 HB7)","2024-Aug-05 03:42 ± < 00:01","0.03756","0.03756","6.07","6.06","25.3","24 m -   53 m","0"
"(2024 PK3)","2024-Aug-05 10:05 ± < 00:01","0.01987","0.01977","5.69","5.67","26.7","12 m -   27 m","0"
"(2024 PC4)","2024-Aug-05 12:50 ±    00:07","0.02282","0.02267","9.08","9.07","26.0","17 m -   38 m","0"
"(2024 QG1)","2024-Aug-05 14:10 ±    00:46","0.06106","0.05924","9.93","9.92","25.0","26 m -   59 m","0"
"(2019 NP5)","2024-Aug-05 14:34 ±    13:00","0.08750","0.06691","7.76","7.75","27.6","8.0 m -   18 m","0"
"(2017 TU1)","2024-Aug-05 18:40 ± < 00:01","0.02862","0.02862","9.98","9.97","26.0","17 m -   38 m","0"
"(2024 PE)","2024-Aug-06 03:01 ± < 00:01","0.01210","0.01203","16.14","16.12","25.6","20 m -   44 m","0"
"(2024 PJ3)","2024-Aug-06 03:43 ±    00:02","0.00529","0.00528","16.51","16.47","28.3","5.9 m -   13 m","0"
"(2022 AO)","2024-Aug-06 04:05 ±    00:02","0.09753","0.09753","5.51","5.51","23.9","43 m -   96 m","0"
"(2024 PX1)","2024-Aug-06 08:00 ± < 00:01","0.04752","0.04728","6.32","6.31","25.9","18 m -   39 m","0"
"(2024 OF2)","2024-Aug-06 12:33 ± < 00:01","0.02626","0.02606","12.14","12.13","24.5","33 m -   74 m","0"
"(2024 OR1)","2024-Aug-06 13:11 ± < 00:01","0.02286","0.02272","8.44","8.42","25.1","26 m -   58 m","0"
"(2024 PL3)","2024-Aug-07 13:25 ± < 00:01","0.04579","0.04517","18.53","18.52","24.4","35 m -   79 m","0"
"(2021 CS9)","2024-Aug-07 13:46 ± 1_15:49","0.09350","0.08830","8.88","8.88","24.3","37 m -   82 m","0"
"(2024 PG4)","2024-Aug-07 19:16 ±    00:07","0.07704","0.07642","10.57","10.56","25.3","23 m -   52 m","0"
"(2019 QD8)","2024-Aug-07 19:53 ± < 00:01","0.06428","0.06428","12.00","12.00","22.3","92 m -  210 m","0"
"(2024 RZ3)","2024-Aug-07 23:58 ±    00:02","0.02429","0.02425","2.02","1.96","26.9","11 m -   25 m","0"
"(2024 PK4)","2024-Aug-08 06:52 ±    00:02","0.03599","0.03568","9.61","9.60","25.7","19 m -   43 m","0"
"(2024 PN1)","2024-Aug-08 08:31 ± < 00:01","0.01623","0.01619","8.58","8.56","25.6","21 m -   46 m","0"
"(2024 PW)","2024-Aug-08 11:26 ± < 00:01","0.08507","0.08313","28.05","28.05","21.9","110 m -  240 m","0"
"(2024 PT5)","2024-Aug-08 20:00 ± < 00:01","0.00379","0.00379","1.37","0.69","27.5","8.5 m -   19 m","0"
"(2024 PJ)","2024-Aug-09 00:00 ± < 00:01","0.08576","0.08515","14.69","14.69","23.7","48 m -  110 m","0"
"(2024 PH)","2024-Aug-09 12:21 ±    00:01","0.07952","0.07891","10.85","10.85","24.4","36 m -   80 m","0"
"(2024 PU3)","2024-Aug-09 17:09 ±    00:01","0.01298","0.01286","14.80","14.78","27.2","9.5 m -   21 m","0"
"(2024 PY3)","2024-Aug-10 02:57 ± < 00:01","0.04940","0.04907","15.13","15.13","23.9","44 m -  100 m","0"
"(2024 PP4)","2024-Aug-10 13:27 ±    00:01","0.02152","0.02140","21.65","21.64","25.6","20 m -   45 m","0"
"(2024 PK1)","2024-Aug-10 17:27 ± < 00:01","0.04329","0.04299","13.32","13.32","25.2","24 m -   53 m","0"
"(2024 PX3)","2024-Aug-11 08:44 ± < 00:01","0.00681","0.00680","9.67","9.63","26.0","17 m -   37 m","0"
"(2017 FK)","2024-Aug-11 10:05 ± 2_07:09","0.05817","0.04667","8.65","8.64","27.4","8.8 m -   20 m","0"
"(2024 PK2)","2024-Aug-11 18:30 ± < 00:01","0.00855","0.00853","8.58","8.54","25.5","21 m -   46 m","0"
"(2024 ON2)","2024-Aug-12 06:51 ± < 00:01","0.04501","0.04448","13.96","13.95","24.8","30 m -   66 m","0"
"(2024 OA3)","2024-Aug-12 16:55 ± < 00:01","0.05031","0.05021","26.43","26.43","22.6","80 m -  180 m","0"
"(2024 PR5)","2024-Aug-12 20:09 ± < 00:01","0.00349","0.00347","20.27","20.23","27.2","9.5 m -   21 m","0"
"(2024 OS)","2024-Aug-13 00:15 ±    00:01","0.05117","0.05068","6.98","6.97","25.5","21 m -   47 m","0"
